comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,served_share,20,20,0,0,0,-0.03475,-0.035,-0.125,0.04000000000000001,0.15
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,served_share,20,20,0,0,0,-0.03425,-0.03,-0.09000000000000002,0.0,0.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,served_share,20,20,0,0,0,-0.03200000000000001,-0.02500000000000001,-0.09500000000000001,0.010000000000000009,0.05
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,behavioral_acceptance_rate,20,20,0,0,0,0.021250000000000005,0.03250000000000003,-0.20999999999999996,0.26,0.6
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,behavioral_acceptance_rate,20,20,0,0,0,0.000250000000000003,0.01749999999999996,-0.16499999999999992,0.10999999999999999,0.6
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,behavioral_acceptance_rate,20,20,0,0,0,0.011500000000000014,0.022499999999999992,-0.14,0.17999999999999994,0.55
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,choice_rejection_rate,20,20,0,0,0,-0.021249999999999998,-0.03250000000000003,-0.25999999999999995,0.20999999999999996,0.6
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,choice_rejection_rate,20,20,0,0,0,-0.0002499999999999947,-0.01749999999999996,-0.10999999999999999,0.16499999999999998,0.6
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,choice_rejection_rate,20,20,0,0,0,-0.011500000000000005,-0.02250000000000002,-0.18,0.14,0.55
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,feasibility_rejection_rate,20,20,0,0,0,0.05600000000000001,0.065,-0.2,0.385,0.3
