comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share,ci_low,ci_high,ci_method,bootstrap_seed,n_resamples
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,100,avg_ivt,20,20,0,0,0,-4261.451586978094,-4215.434453818586,-8426.771507944146,0.0,0.95,-5154.35282603306,-3387.1323346564554,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,100,avg_ivt,20,20,0,0,0,-3408.6448502418875,-3462.187776676636,-8643.568235115456,0.0,0.95,-4373.868566243631,-2554.6265837269884,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,served_share,20,20,0,0,0,-0.03475,-0.035,-0.125,0.04000000000000001,0.15,-0.05150000000000001,-0.0185,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,served_share,20,20,0,0,0,-0.03425,-0.03,-0.09000000000000002,0.0,0.0,-0.046250000000000006,-0.022500000000000003,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,served_share,20,20,0,0,0,-0.03200000000000001,-0.02500000000000001,-0.09500000000000001,0.010000000000000009,0.05,-0.044006250000000004,-0.020500000000000008,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,behavioral_acceptance_rate,20,20,0,0,0,0.021250000000000005,0.03250000000000003,-0.20999999999999996,0.26,0.6,-0.028250000000000008,0.07325,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,behavioral_acceptance_rate,20,20,0,0,0,0.000250000000000003,0.01749999999999996,-0.16499999999999992,0.10999999999999999,0.6,-0.03474999999999998,0.031749999999999966,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,behavioral_acceptance_rate,20,20,0,0,0,0.011500000000000014,0.022499999999999992,-0.14,0.17999999999999994,0.55,-0.026756249999999985,0.04899999999999999,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,choice_rejection_rate,20,20,0,0,0,-0.021249999999999998,-0.03250000000000003,-0.25999999999999995,0.20999999999999996,0.6,-0.07175625000000001,0.0292562499999999,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,choice_rejection_rate,20,20,0,0,0,-0.0002499999999999947,-0.01749999999999996,-0.10999999999999999,0.16499999999999998,0.6,-0.03325625,0.03375000000000001,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,choice_rejection_rate,20,20,0,0,0,-0.011500000000000005,-0.02250000000000002,-0.18,0.14,0.55,-0.05000000000000001,0.028506249999999914,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,feasibility_rejection_rate,20,20,0,0,0,0.05600000000000001,0.065,-0.2,0.385,0.3,-0.007500000000000014,0.12174999999999998,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,feasibility_rejection_rate,20,20,0,0,0,0.034499999999999996,0.04749999999999999,-0.14,0.19999999999999998,0.35,-0.008762500000000001,0.07600624999999989,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,feasibility_rejection_rate,20,20,0,0,0,0.0435,0.05499999999999999,-0.13999999999999999,0.245,0.3,-0.005256250000000009,0.09275624999999992,paired_bootstrap_percentile,20260616,5000
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,total_vehicle_km,20,20,0,0,0,-277.2436406436338,-292.2752328630308,-529.2336893750144,-130.79925824458496,1.0,-323.5196285366553,-234.21626583474824,paired_bootstrap_percentile,20260616,5000
