package_id,run_id,config_id,seed,scale,scenario,method_label,variant,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,original_request_count,attainable_served_count,matched_target_served_count,target_basis,target_adjusted,actual_served_count,served_share,coverage_gap_count,coverage_gap_abs,coverage_tolerance_count,total_vehicle_km,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index
matched_coverage,matched_coverage:synthetic_n500_s1:SingleSidedDropoff_Choice_CommonRouting,matched_coverage:scale_500:seed_1,1,500,synthetic_n500_v30_s1,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,single_sided_dropoff,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,8.216390599962324,,phase06.06-03.v1,2026-06-16T07:34:39.586463+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,119,103,min_attainable_served_count_all_methods,True,103,0.206,0,0,0,1251.6883861205285,12.152314428354646,2.503376772241057,3738.1469815345613,16766.355627082077,854.2436289908474,4889.7923964442125,4.391169824807255,0.28113028448140076
matched_coverage,matched_coverage:synthetic_n500_s1:SingleSidedPickup_Choice_CommonRouting,matched_coverage:scale_500:seed_1,1,500,synthetic_n500_v30_s1,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,single_sided_pickup,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,10.411995800212026,,phase06.06-03.v1,2026-06-16T07:34:50.023511+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,115,103,min_attainable_served_count_all_methods,True,103,0.206,0,0,0,1140.3322078013043,11.071186483507809,2.2806644156026086,2505.80103006369,12597.191749827321,877.3290225716091,7349.14153232565,6.647702491854187,0.2778282285505298
matched_coverage,matched_coverage:synthetic_n500_s2:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_2,2,500,synthetic_n500_v30_s2,BidirectionalMP_Choice_RH_ALNS,FullModel,bidirectional_mp,binary_logit_with_matched_coverage_cap,rolling_horizon,alns,supplementary_control,matched_coverage_control,failed,actual served count differs from target by -4,32.896677600219846,coverage gap count -4,phase06.06-03.v1,2026-06-16T07:35:22.945482+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,85,79,min_attainable_served_count_all_methods,True,75,0.15,-4,4,0,570.1289240418964,7.6017189872252855,1.1402578480837928,333.6324373342112,1060.1538049087962,71.60920349206185,725.8681290644814,1.0,0.478686094380411
matched_coverage,matched_coverage:synthetic_n500_s2:DoorToDoor_Choice_CommonRouting,matched_coverage:scale_500:seed_2,2,500,synthetic_n500_v30_s2,DoorToDoor_Choice_CommonRouting,DoorToDoor,door_to_door,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,2.8004598999395967,,phase06.06-03.v1,2026-06-16T07:35:25.767851+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,88,79,min_attainable_served_count_all_methods,True,79,0.158,0,0,0,1139.5558833278637,14.424758016808402,2.2791117666557277,6172.942116469455,21255.014296693254,0.0,6542.546681470386,7.02129522058961,0.29774401981429666
matched_coverage,matched_coverage:synthetic_n500_s2:SingleSidedDropoff_Choice_CommonRouting,matched_coverage:scale_500:seed_2,2,500,synthetic_n500_v30_s2,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,single_sided_dropoff,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,3.8871757998131216,,phase06.06-03.v1,2026-06-16T07:35:29.680396+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,104,79,min_attainable_served_count_all_methods,True,79,0.158,0,0,0,925.9328933891436,11.720669536571439,1.8518657867782873,4536.064510003909,18899.72180927488,858.5267280978254,3062.2973148209826,2.8243514264036103,0.3214153344665631
matched_coverage,matched_coverage:synthetic_n500_s2:SingleSidedPickup_Choice_CommonRouting,matched_coverage:scale_500:seed_2,2,500,synthetic_n500_v30_s2,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,single_sided_pickup,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,15.91971189994365,,phase06.06-03.v1,2026-06-16T07:35:45.621439+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,79,79,min_attainable_served_count_all_methods,False,79,0.158,0,0,0,953.9298342075979,12.07506119250124,1.9078596684151958,7390.140441676217,24300.74686914712,904.8690528675263,5093.38789118299,4.57129331741051,0.327471960555034
matched_coverage,matched_coverage:synthetic_n500_s3:BidirectionalMP_Choice_RH_ALNS,matched_coverage:scale_500:seed_3,3,500,synthetic_n500_v30_s3,BidirectionalMP_Choice_RH_ALNS,FullModel,bidirectional_mp,binary_logit_with_matched_coverage_cap,rolling_horizon,alns,supplementary_control,matched_coverage_control,failed,actual served count differs from target by -8,46.17681350000203,coverage gap count -8,phase06.06-03.v1,2026-06-16T07:36:31.820896+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,99,96,min_attainable_served_count_all_methods,True,88,0.176,-8,8,0,847.3061911364709,9.628479444732625,1.694612382272942,356.2966473542395,958.6241902709235,53.25726442238864,856.723045222789,1.0,0.43276517295037675
matched_coverage,matched_coverage:synthetic_n500_s3:DoorToDoor_Choice_CommonRouting,matched_coverage:scale_500:seed_3,3,500,synthetic_n500_v30_s3,DoorToDoor_Choice_CommonRouting,DoorToDoor,door_to_door,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,6.329103699885309,,phase06.06-03.v1,2026-06-16T07:36:38.172768+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,100,96,min_attainable_served_count_all_methods,True,96,0.192,0,0,0,1153.976287302573,12.020586326068468,2.307952574605146,6208.252480020396,23390.148900019325,0.0,6682.336743936779,6.969000959507706,0.33283458390997533
matched_coverage,matched_coverage:synthetic_n500_s3:SingleSidedDropoff_Choice_CommonRouting,matched_coverage:scale_500:seed_3,3,500,synthetic_n500_v30_s3,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,single_sided_dropoff,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,16.8924274998717,,phase06.06-03.v1,2026-06-16T07:36:55.087585+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,96,96,min_attainable_served_count_all_methods,False,96,0.192,0,0,0,1202.279780097271,12.523747709346573,2.4045595601945418,6089.273807776648,23709.943791400154,900.4850654117976,7739.82778731825,8.205407842990695,0.33803529502229046
matched_coverage,matched_coverage:synthetic_n500_s3:SingleSidedPickup_Choice_CommonRouting,matched_coverage:scale_500:seed_3,3,500,synthetic_n500_v30_s3,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,single_sided_pickup,binary_logit_with_matched_coverage_cap,common_sequential_insertion,greedy_insertion,supplementary_control,matched_coverage_control,completed,actual served count equals matched target,9.148954099975526,,phase06.06-03.v1,2026-06-16T07:37:04.256121+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\formal\phase06\coverage_controls\matched_coverage,98f0cb8,500,103,96,min_attainable_served_count_all_methods,True,96,0.192,0,0,0,1135.972588182152,11.833047793564084,2.271945176364304,4641.81813599764,21080.766650544145,900.1345362667583,7556.833212932116,8.20355739286652,0.3293759829428047
