package_id,config_id,seed,scale,scenario,method_label,passenger_type,n_original,n_served,served_share,type_level_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,avg_wait,avg_walk,avg_ivt,mean_generalized_cost,equity_gini_acceptance,status
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_4,4,100,synthetic_n100_v10_s4,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,1,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.8846153846153846,0.0,0.0,0.0,0.0,0.3958333333333335,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,DoorToDoor_Choice_CommonRouting,price_sensitive,38,6,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5263157894736842,7880.719833535758,0.0,5805.144047065257,0.10104626336463689,0.20824398379795106,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,DoorToDoor_Choice_CommonRouting,time_sensitive,36,3,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.5,232.00995251785596,0.0,15846.264300535864,0.08551412937831501,0.20824398379795106,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,6,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.6153846153846154,4306.565341879915,0.0,8971.3608276498,0.1516702793321534,0.20824398379795106,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,4,0.10526315789473684,0.10526315789473684,0.34210526315789475,0.5526315789473685,483.05660960312,0.0,1052.4219053026175,0.06823463350931507,0.27069516089412926,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,3,0.08333333333333333,0.08333333333333333,0.3611111111111111,0.5555555555555556,457.00413765013826,0.0,984.6799145774758,0.1755417861213301,0.27069516089412926,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_5,5,100,synthetic_n100_v10_s5,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,7,0.2692307692307692,0.2692307692307692,0.19230769230769232,0.5384615384615384,617.8528077625825,294.45383832295175,1155.6512763531896,0.1817545614984621,0.27069516089412926,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,DoorToDoor_Choice_CommonRouting,price_sensitive,38,8,0.21052631578947367,0.21052631578947367,0.6052631578947368,0.18421052631578946,850.272162781261,0.0,3824.690406342193,0.11153571357137197,0.25817409766454347,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,DoorToDoor_Choice_CommonRouting,time_sensitive,36,4,0.1111111111111111,0.1111111111111111,0.6944444444444444,0.19444444444444445,525.232931617154,0.0,789.0349575462095,0.20341518601815725,0.25817409766454347,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,10,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.3076923076923077,1611.2829576573192,0.0,898.0572001353792,0.20457095097744069,0.25817409766454347,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,8,0.21052631578947367,0.21052631578947367,0.39473684210526316,0.39473684210526316,403.2037262902776,273.2223134920783,1198.8697881990936,0.12484782310596974,0.266106442577031,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,2,0.05555555555555555,0.05555555555555555,0.5277777777777778,0.4166666666666667,445.81074698903717,0.0,947.2798121089595,0.09089027328093237,0.266106442577031,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_6,6,100,synthetic_n100_v10_s6,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,7,0.2692307692307692,0.2692307692307692,0.4230769230769231,0.3076923076923077,688.9508632554187,0.0,536.518139112979,0.10265098406572684,0.266106442577031,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,DoorToDoor_Choice_CommonRouting,price_sensitive,38,10,0.2631578947368421,0.2631578947368421,0.6052631578947368,0.13157894736842105,960.8249044263224,0.0,9648.52563582848,0.1286076902484425,0.38807969194709524,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,DoorToDoor_Choice_CommonRouting,time_sensitive,36,2,0.05555555555555555,0.05555555555555555,0.8333333333333334,0.1111111111111111,340.0906488077544,0.0,1634.8198360756214,0.15258764052483811,0.38807969194709524,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,15,0.5769230769230769,0.5769230769230769,0.34615384615384615,0.07692307692307693,2235.6795787062406,0.0,4211.3277315459145,0.3700998122071973,0.38807969194709524,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,6,0.15789473684210525,0.15789473684210525,0.47368421052631576,0.3684210526315789,563.282310071368,0.0,982.5068128735944,0.09118031701527106,0.4202211690363349,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.4202211690363349,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_7,7,100,synthetic_n100_v10_s7,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,7,0.2692307692307692,0.2692307692307692,0.19230769230769232,0.5384615384615384,353.577851455689,251.9525026431164,1219.7352316870545,0.1773501266366267,0.4202211690363349,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,DoorToDoor_Choice_CommonRouting,price_sensitive,38,7,0.18421052631578946,0.18421052631578946,0.39473684210526316,0.42105263157894735,1995.2588687791451,0.0,3909.826206156781,0.13971129892337827,0.33450183064578964,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,DoorToDoor_Choice_CommonRouting,time_sensitive,36,1,0.027777777777777776,0.027777777777777776,0.6388888888888888,0.3333333333333333,598.2415659172993,0.0,251.99837230347748,0.037029641840744504,0.33450183064578964,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,7,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.4230769230769231,1038.9671718902307,0.0,7029.305009877486,0.205103521724851,0.33450183064578964,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,2,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.5789473684210527,273.0883951574997,0.0,1499.608367940818,0.03191375700416521,0.2575107296137342,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,2,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.5,341.9256678937095,1364.4279925619153,246.0472053594217,0.04390549137575085,0.2575107296137342,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_8,8,100,synthetic_n100_v10_s8,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,4,0.15384615384615385,0.15384615384615385,0.2692307692307692,0.5769230769230769,466.83712748005087,0.0,1034.3066092611693,0.06974751643263985,0.2575107296137342,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,DoorToDoor_Choice_CommonRouting,price_sensitive,38,6,0.15789473684210525,0.15789473684210525,0.47368421052631576,0.3684210526315789,5518.846664894486,0.0,3674.315279058426,0.11594797819351464,0.3005091539378184,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,DoorToDoor_Choice_CommonRouting,time_sensitive,36,4,0.1111111111111111,0.1111111111111111,0.5277777777777778,0.3611111111111111,1017.2865206924977,0.0,1434.100982952477,0.20029531336131728,0.3005091539378184,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,11,0.4230769230769231,0.4230769230769231,0.3076923076923077,0.2692307692307692,4895.881968439825,0.0,6389.310751794712,0.28064603594039067,0.3005091539378184,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,5,0.13157894736842105,0.13157894736842105,0.5526315789473685,0.3157894736842105,493.12261278116387,0.0,1159.8897478786055,0.08023987420906618,0.220539994953318,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,3,0.08333333333333333,0.08333333333333333,0.6111111111111112,0.3055555555555556,415.5742732897035,0.0,1348.9223557990335,0.19465201890458528,0.220539994953318,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_9,9,100,synthetic_n100_v10_s9,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,6,0.23076923076923078,0.23076923076923078,0.34615384615384615,0.4230769230769231,386.30794264779246,0.0,988.7804250725018,0.1287074094996841,0.220539994953318,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,DoorToDoor_Choice_CommonRouting,price_sensitive,38,2,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.631578947368421,433.2646370397779,0.0,10167.05397335811,0.041774044307298565,0.3134000488162072,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,DoorToDoor_Choice_CommonRouting,time_sensitive,36,5,0.1388888888888889,0.1388888888888889,0.5,0.3611111111111111,1081.752212486435,0.0,7531.555341861569,0.21301266688144704,0.3134000488162072,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,DoorToDoor_Choice_CommonRouting,walk_sensitive,26,7,0.2692307692307692,0.2692307692307692,0.19230769230769232,0.5384615384615384,3309.2977734395577,0.0,10179.91890213087,0.2058829914671174,0.3134000488162072,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,BidirectionalMP_Choice_RH_ALNS,price_sensitive,38,4,0.10526315789473684,0.10526315789473684,0.4473684210526316,0.4473684210526316,106.69000822584167,384.02577323673796,761.7923923120329,0.03568651723988423,0.29295701032274923,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,BidirectionalMP_Choice_RH_ALNS,time_sensitive,36,1,0.027777777777777776,0.027777777777777776,0.5833333333333334,0.3888888888888889,513.3140750876823,0.0,1107.5478354485513,0.03728945342331596,0.29295701032274923,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_100:seed_10,10,100,synthetic_n100_v10_s10,BidirectionalMP_Choice_RH_ALNS,walk_sensitive,26,4,0.15384615384615385,0.15384615384615385,0.34615384615384615,0.5,289.8776692977509,0.0,1353.1381351755094,0.1309427758965653,0.29295701032274923,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_200:seed_1,1,200,synthetic_n200_v15_s1,DoorToDoor_Choice_CommonRouting,price_sensitive,73,13,0.1780821917808219,0.1780821917808219,0.6575342465753424,0.1643835616438356,6424.213643641858,0.0,6356.695124544461,0.14363792388978028,0.28864126527677914,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_200:seed_1,1,200,synthetic_n200_v15_s1,DoorToDoor_Choice_CommonRouting,time_sensitive,67,7,0.1044776119402985,0.1044776119402985,0.5970149253731343,0.29850746268656714,1955.9456686577262,0.0,10375.472932589544,0.16926258214923287,0.28864126527677914,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_200:seed_1,1,200,synthetic_n200_v15_s1,DoorToDoor_Choice_CommonRouting,walk_sensitive,60,24,0.4,0.4,0.4666666666666667,0.13333333333333333,2596.932448779142,0.0,5908.915392436131,0.2960270984062483,0.28864126527677914,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_200:seed_1,1,200,synthetic_n200_v15_s1,BidirectionalMP_Choice_RH_ALNS,price_sensitive,73,13,0.1780821917808219,0.1780821917808219,0.5616438356164384,0.2602739726027397,275.73428687216983,0.0,1080.761153210632,0.10208598044521643,0.20664230933807337,completed
equity_type_outcomes,equity_type_outcomes:equity_default_choice_parameters:scale_200:seed_1,1,200,synthetic_n200_v15_s1,BidirectionalMP_Choice_RH_ALNS,time_sensitive,67,6,0.08955223880597014,0.08955223880597014,0.7611940298507462,0.14925373134328357,319.5538078984495,269.5986136904694,708.9875778077909,0.09107409975895098,0.20664230933807337,completed
